GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,48,0,0,0,14,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,11,0,0,0,4,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,94,1,5,0,24,1,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,11,129,1,7,2,33,1,10,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,100,1,5,0,26,1,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,94,1,5,0,24,1,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,97,1,5,0,25,1,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,94,1,5,0,24,1,9,0,7
spring-boot-skeleton,com.nnk.springboot.security.services,UserDetailsServiceImpl,6,17,0,0,0,4,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.security.services,UserDetailsImpl,14,44,2,2,2,14,2,8,0,8
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,123,0,6,0,33,0,9,0,6
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,135,0,6,0,35,0,9,0,6
spring-boot-skeleton,com.nnk.springboot.services,UserService,4,89,1,1,1,20,1,8,0,8
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,119,0,6,0,32,0,9,0,6
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,119,0,6,0,32,0,9,0,6
spring-boot-skeleton,com.nnk.springboot.services,PasswordConstraintValidator,0,78,0,2,0,12,0,4,0,3
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,115,0,6,0,31,0,9,0,6
spring-boot-skeleton,com.nnk.springboot.security,WebSecurityConfig,0,114,0,0,0,23,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.security,TestsSecurityConfig,0,14,0,0,0,3,0,2,0,2
spring-boot-skeleton,com.nnk.springboot,PoseidonApp,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,5,124,7,7,0,27,7,14,0,14
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,5,166,9,9,0,35,9,18,0,18
spring-boot-skeleton,com.nnk.springboot.domain,BidList,148,97,6,6,51,28,41,14,35,14
spring-boot-skeleton,com.nnk.springboot.domain,Trade,116,109,6,6,47,26,38,14,32,14
spring-boot-skeleton,com.nnk.springboot.domain,User,18,108,9,5,0,27,7,14,0,14
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,11,113,6,6,2,27,8,14,2,14
